StationCode,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_Pct,F_DO_Pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,Level,F_Level,cLevel,F_cLevel,pH,F_pH,Turb,F_Turb,ChlFluor,F_ChlFluor,Unnamed: 30,Datetime_Adjusted_UTC+1
wqbmpwq   ,P,5/12/2022 8:15,0,1,,11.4,<0> (CND),47.7,<0> (CND),31,<0> (CND),95.4,<0> (CND),8.6,<0> (CND),1.6,<0> (CND),,,,<-1> ,,,7.9,<0> (CND),2,<0> (CND),2,<0> (CND),,5/12/2022 17:15
wqbmpwq   ,P,5/12/2022 8:30,0,1,,11.5,<0> ,47.83,<0> ,31.1,<0> ,97.7,<0> ,8.8,<0> ,1.58,<0> ,,,,<-1> ,,,7.9,<0> ,2,<0> ,2.1,<0> ,,5/12/2022 17:30
wqbmpwq   ,P,5/12/2022 8:45,0,1,,11.4,<0> ,47.69,<0> ,31,<0> ,100.3,<0> ,9,<0> ,1.57,<0> ,,,,<-1> ,,,7.9,<0> ,2,<0> ,2.8,<0> ,,5/12/2022 17:45
wqbmpwq   ,P,5/12/2022 9:00,0,1,,11.4,<0> ,47.73,<0> ,31,<0> ,102.6,<0> ,9.2,<0> ,1.55,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,1.5,<0> ,,5/12/2022 18:00
wqbmpwq   ,P,5/12/2022 9:15,0,1,,11.5,<0> ,47.71,<0> ,31,<0> ,106.7,<0> ,9.6,<0> ,1.53,<0> ,,,,<-1> ,,,8,<0> ,1,<0> ,1.6,<0> ,,5/12/2022 18:15
wqbmpwq   ,P,5/12/2022 9:30,0,1,,11.7,<0> ,47.9,<0> ,31.1,<0> ,116.4,<0> ,10.4,<0> ,1.51,<0> ,,,,<-1> ,,,8.1,<0> ,1,<0> ,1.3,<0> ,,5/12/2022 18:30
wqbmpwq   ,P,5/12/2022 9:45,0,1,,11.7,<0> ,47.8,<0> ,31.1,<0> ,114.4,<0> ,10.2,<0> ,1.49,<0> ,,,,<-1> ,,,8.1,<0> ,1,<0> ,1.3,<0> ,,5/12/2022 18:45
wqbmpwq   ,P,5/12/2022 10:00,0,1,,11.7,<0> ,47.76,<0> ,31,<0> ,115.5,<0> ,10.3,<0> ,1.47,<0> ,,,,<-1> ,,,8.1,<0> ,2,<0> ,2.4,<0> ,,5/12/2022 19:00
wqbmpwq   ,P,5/12/2022 10:15,0,1,,11.7,<0> ,47.1,<0> ,30.5,<0> ,104.6,<0> ,9.4,<0> ,1.45,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,1.5,<0> ,,5/12/2022 19:15
wqbmpwq   ,P,5/12/2022 10:30,0,1,,12,<0> ,46.62,<0> ,30.2,<0> ,112.4,<0> ,10,<0> ,1.42,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,1.3,<0> ,,5/12/2022 19:30
wqbmpwq   ,P,5/12/2022 10:45,0,1,,12.1,<0> ,46.25,<0> ,30,<0> ,101.9,<0> ,9.1,<0> ,1.4,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,1.5,<0> ,,5/12/2022 19:45
wqbmpwq   ,P,5/12/2022 11:00,0,1,,12.2,<0> ,45.9,<0> ,29.7,<0> ,98.7,<0> ,8.8,<0> ,1.38,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,1.4,<0> ,,5/12/2022 20:00
wqbmpwq   ,P,5/12/2022 11:15,0,1,,12.4,<0> ,45.59,<0> ,29.5,<0> ,98.2,<0> ,8.7,<0> ,1.36,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,1.2,<0> ,,5/12/2022 20:15
wqbmpwq   ,P,5/12/2022 11:30,0,1,,12.6,<0> ,45.4,<0> ,29.4,<0> ,98.5,<0> ,8.7,<0> ,1.34,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,1.1,<0> ,,5/12/2022 20:30
wqbmpwq   ,P,5/12/2022 11:45,0,1,,12.9,<0> ,45.24,<0> ,29.3,<0> ,100.5,<0> ,8.8,<0> ,1.32,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,1.2,<0> ,,5/12/2022 20:45
wqbmpwq   ,P,5/12/2022 15:00,0,1,,13,<0> ,45.16,<0> ,29.2,<0> ,101.3,<0> ,8.9,<0> ,1.3,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,0.7,<0> ,,5/12/2022 21:00
wqbmpwq   ,P,5/12/2022 15:15,0,1,,13.2,<0> ,45.23,<0> ,29.3,<0> ,103.2,<0> ,9,<0> ,1.29,<0> ,,,,<-1> ,,,8,<0> ,2,<0> ,0.8,<0> ,,5/12/2022 21:15
