Year Day	Temperature C	CO2	Battery Voltage
166.6673	12.47		11.68
166.6876	12.40	548.4	12.00
166.7084	12.04	545.8	11.98
166.7293	12.13	531.0	11.97
166.7501	12.22	522.8	11.96
166.7709	12.67	520.4	11.96
166.7918	12.65	525.7	11.96
166.8126	12.74	519.7	11.96
166.8334	12.86	510.0	11.96
166.8543	12.79	508.7	11.96
166.8751	12.74	506.9	11.96
166.8959	12.77	507.1	11.96
166.9168	12.65	506.0	11.96
166.9376	13.26	516.8	11.96
166.9584	12.58	492.4	11.96
166.9793	12.11	499.5	11.96
167.0001	12.83	500.7	11.95
167.0209	12.61	507.0	11.96
167.0418	12.40	503.4	11.96
167.0626	13.01	511.8	11.96
167.0834	12.29	509.3	11.96
167.1043	12.13	510.4	11.96
167.1251	12.04	511.3	11.96
167.1459	12.02	512.7	11.95
167.1668	12.25	515.8	11.96
167.1876	12.22	514.8	11.96
167.2084	12.02	514.0	11.96
167.2293	12.06	513.6	11.95
167.2501	12.18	517.1	11.95
167.2709	12.29	517.6	11.96
167.2918	12.27	521.5	11.96
167.3126	12.38	521.4	11.96
167.3334	12.40	523.6	11.96
167.3543	12.25	525.0	11.96
167.3751	12.58	534.9	11.96
167.3959	12.31	532.5	11.96
167.4168	12.56	543.3	11.96
167.4376	12.61	547.2	11.96
167.4584	13.01	553.8	11.96
167.4793	12.61	540.1	11.96
167.5001	12.54	529.0	11.96
167.5209	12.79	541.3	11.96
167.5418	12.56	523.6	11.96
167.5626	12.29	523.1	11.96
167.5834	12.56	524.6	11.96
167.6043	12.49	519.9	11.96
167.6251	12.88	523.8	11.96
167.6459	12.22	516.3	11.96
167.6668	12.22	513.8	11.96
167.6876	13.20	528.2	11.96
167.7084	13.01	522.6	11.96
167.7293	13.33	527.1	11.97
167.7501	13.15	523.1	11.97
167.7709	13.04	516.4	11.97
167.7918	13.26	492.1	11.97
167.8126	13.17	484.5	11.97
167.8334	13.01	487.3	11.98
167.8543	12.40	484.8	11.97
167.8751	12.34	483.4	11.97
167.8959	12.52	489.4	11.97
167.9168	13.15	486.9	11.97
167.9376	13.29	499.3	11.97
167.9584	13.20	503.4	11.97
167.9793	12.86	491.7	11.98
168.0001	12.45	480.5	11.97
168.0209	11.82	493.2	11.97
168.0418	13.01	514.1	11.96
168.0626	12.47	511.1	11.97
168.0834	12.52	511.9	11.97
168.1043	12.77	514.4	11.97
168.1251	12.49	511.1	11.97
168.1459	12.06	509.0	11.97
168.1668	12.02	512.1	11.96
168.1876	12.22	516.9	11.96
168.2084	12.18	519.7	11.96
168.2293	12.18	519.6	11.96
168.2501	12.09	519.5	11.96
168.2709	11.84	510.3	11.96
168.2918	11.79	510.8	11.96
168.3126	12.20	526.6	11.96
168.3334	12.16	526.8	11.96
168.3543	12.43	535.4	11.96
168.3751	12.43	534.6	11.96
168.3959	12.27	532.0	11.96
168.4168	12.11	524.8	11.96
168.4376	12.04	524.0	11.96
168.4584	12.16	529.2	11.96
168.4793	12.02	522.8	11.96
168.5001	12.02	497.7	11.96
168.5209	12.18	521.3	11.96
168.5418	12.16	520.0	11.96
168.5626	12.36	519.6	11.96
168.5834	12.63	518.4	11.96
168.6043	12.36	511.8	11.96
168.6251	12.86	522.0	11.96
168.6459	12.45	513.5	11.96
168.6668	12.72	513.5	11.96
168.6876	13.36	520.3	11.97
168.7084	13.15	515.1	11.97
168.7293	13.04	508.7	11.97
168.7501	12.95	507.6	11.97
168.7709	12.65	502.9	11.97
168.7918	12.49	499.5	11.97
168.8126	12.58	481.2	11.96
168.8334	12.56	483.8	11.96
168.8543	13.61	477.4	11.97
168.8751	13.22	475.6	11.97
168.8959	12.92	473.1	11.97
168.9168	12.88	473.8	11.97
168.9376	12.95	473.5	11.96
168.9584	12.86	469.9	11.97
168.9793	12.83	452.7	11.96
169.0001	12.83	455.9	11.96
169.0209	12.81	448.8	11.97
169.0418	12.43	476.7	11.96
169.0626	12.13	480.5	11.96
169.0834	13.47	506.3	11.96
169.1043	13.22	506.1	11.96
169.1251	13.22	500.6	11.96
169.1459	13.13	503.3	11.97
169.1668	13.01	502.5	11.96
169.1876	12.49	498.0	11.96
169.2084	12.40	498.9	11.96
169.2293	12.67	507.3	11.96
169.2501	12.63	505.8	11.96
169.2709	12.63	514.0	11.96
169.2918	12.36	506.0	11.96
169.3126	12.25	501.8	11.96
169.3334	12.34	505.5	11.96
169.3543	12.38	509.4	11.96
169.3751	12.47	519.2	11.96
169.3959	12.56	524.1	11.96
169.4168	12.63	529.2	11.96
